index,frame,x,y,z,qx,qy,qz,qw
12,map,-0.0436999096527686,-0.1260812353503895,0.0,0.0,0.0,0.0,1.0
11,map,-0.020758033853144342,-0.13601451644323115,0.0,0.0,0.0,0.0,1.0
10,map,0.002205299618918799,-0.1458982064708807,0.0,0.0,0.0,0.0,1.0
9,map,0.025192379581814306,-0.15572639265248833,0.0,0.0,0.0,0.0,1.0
8,map,0.04818470475352821,-0.16554237180266407,0.0,0.0,0.0,0.0,1.0
7,map,0.07119467290035852,-0.1753167707520249,0.0,0.0,0.0,0.0,1.0
6,map,0.09416372841840537,-0.18518730007391193,0.0,0.0,0.0,0.0,1.0
5,map,0.11710188488814022,-0.19512916423572912,0.0,0.0,0.0,0.0,1.0
4,map,0.13993475571177494,-0.2053104006545312,0.0,0.0,0.0,0.0,1.0
3,map,0.16489126853482783,-0.20383754601832615,0.0,0.0,0.0,0.0,1.0
2,map,0.1898639938215012,-0.20266834128898958,0.0,0.0,0.0,0.0,1.0
1,map,0.21484797246527587,-0.20177207815307563,0.0,0.0,0.0,0.0,1.0
0,map,0.2500000268220901,-0.19999996051192293,0.0,0.0,0.0,0.0,1.0
