episode,status,reason,steps,goal_dist,cross_track_error,min_clearance,min_dynamic_distance,nearest_path_index,progress_ratio
176,off_path,cte_1.26,175,3.559658592366919,1.2562880949004518,0.13294126093387604,0.39819109194122526,17,0.09454759843608003
177,collision,dynamic_dist_0.35,153,2.604280876648805,0.22003423866529626,0.12733663618564606,0.35318527707159003,70,0.38782057879297055
178,collision,stuck_blocked,135,3.6084959234019225,0.6979906872599067,0.11999999731779099,0.9575634682701333,43,0.23841735417368812
179,collision,stuck_blocked,293,1.3288996983282118,0.4943649665626597,0.11999999731779099,1.2808542763936719,123,0.6810935272371558
180,off_path,cte_1.25,333,3.0410505329447495,1.2503459576244207,0.11999999731779099,2.166107895541712,103,0.5704244897781042
181,collision,stuck_blocked,211,1.8025212585572152,0.45374948581572316,0.11999999731779099,0.4813648620680626,93,0.5150899627816493
182,off_path,cte_1.26,201,3.3896642525524276,1.262030960400041,0.11999999731779099,1.084713655682261,53,0.29375186208607906
183,collision,dynamic_dist_0.35,48,3.4339860629098995,0.14211533283808825,0.1406312733888626,0.3538522649891226,24,0.1332817700309217
184,off_path,cte_1.25,214,3.806098759365702,1.250599610419408,0.1317611187696457,0.37291527534160335,45,0.24948424177810863
185,off_path,cte_1.25,270,2.6214214402534672,1.2506283493175596,0.11999999731779099,1.2507737132128067,99,0.5482906716907741
186,off_path,cte_1.25,315,3.410720928060836,1.252368434362178,0.12134487181901932,2.9130191308721236,78,0.4320882030809829
187,collision,stuck_blocked,236,1.6193717299210415,0.6991830324826969,0.11999999731779099,2.448787977369072,118,0.6534262841691006
188,collision,dynamic_dist_0.34,67,3.165719126661822,0.2632422922306698,0.1344107836484909,0.336729514466826,45,0.24948424177810863
189,off_path,cte_1.25,162,4.555436959288496,1.251673176683748,0.11999999731779099,0.9878329753474794,17,0.09454759843608003
190,collision,stuck_blocked,322,1.6384637398654192,0.7108032326265498,0.11999999731779099,0.5290880857185443,118,0.6534262841691006
191,off_path,cte_1.25,199,3.1975231658257237,1.2503926235764957,0.11999999731779099,0.8821703865532822,55,0.30481876975254646
192,collision,stuck_blocked,209,1.4721676706574929,0.2581874523450302,0.11999999731779099,3.092336748470311,118,0.6534262841691006
193,collision,stuck_blocked,414,2.1353405153932896,1.1047293654830446,0.11999999731779099,3.3112072530693006,110,0.6091586465788736
194,collision,dynamic_dist_0.34,184,2.706388016645563,0.6115746940849827,0.13859525322914124,0.33981044280563816,67,0.37122019302316217
195,collision,dynamic_dist_0.34,60,3.523895107911904,0.33414794145630683,0.14077037572860718,0.3423347915742284,30,0.16648247652466444
196,collision,dynamic_dist_0.34,96,3.0945359324329407,0.598074694657719,0.1394258588552475,0.3401349535172844,32,0.17754936344232986
197,collision,stuck_blocked,169,4.002436338162795,1.0609532748850687,0.11999999731779099,1.1049549923847866,27,0.14988210687759618
198,off_path,cte_1.27,143,4.878006367035033,1.2664279975378607,0.11999999731779099,1.0139815823298362,1,0.006012353917912963
199,collision,stuck_blocked,133,2.4231444079101836,0.52175535046294,0.11999999731779099,0.9073510441357625,65,0.36015331649888127
200,collision,stuck_blocked,514,2.388966146623689,0.8984080189921871,0.11999999731779099,2.543389389095439,98,0.5427572353766716
